Start Date;End Date;Title;country code (nl);Host country;Host district 1;Age min;Age max;Contribution;Invitation;full
31/Jul/22;13/Aug/22;Mountainbike in a Danish context;dk;Denmark;?;18;25;250;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/mountainbike-in-a-danish-context.pdf;
31/Jul/22;12/Aug/22;Trekking, Culture and Sports;ch;Switzerland;1980;15;17;CHF 400;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/trekking-culture-and-sports-2022.pdf;x
01/Aug/22;14/Aug/22;International RYLA Camp;fi;Finland;1410;18;20;200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/d1410-raisio-international-ryla-camp-2022.pdf;
01/Aug/22;11/Aug/22;Sports and Leisure in Vichy and the Auvergne area;fr;France;1740;18;23;550;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/plaquettecampvichy2022.pdf;
02/Aug/22;16/Aug/22;Experience Danmark's Outdoor Capital;dk;Denmark;1470;18;21;200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/experience-denmarks-outdoor-capital.pdf;
02/Aug/22;15/Aug/22;Sailing with Jensine in the Danish South Sea;dk;Denmark;1440;17;21;70;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/invitation-letter-jensine-2022.pdf;x
06/Aug/22;19/Aug/22;Explore the Fjords;no;Norway;2250;16;18;150;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/invitation-round-trip-2022-explore-the-fjords-d2250.pdf;x
13/Aug/22;27/Aug/22;Camp Copenhagen;dk;Denmark;1470;18;25;200;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/camp-copenhagen.pdf;x
13/Aug/22;27/Aug/22;Discover German culture and economy;de;Germany;1860;18;25;100;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/discover-german-culture-and-economy.pdf;
13/Aug/22;21/Aug/22;Belgium @ the Borders;be;Belgium;2140;17;19;150;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/belgiumtheborders-camp.pdf;
14/Aug/22;27/Aug/22;Flanders Camp;be;Belgium;2140;18;24;250;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/flanders-camp.pdf;
15/Aug/22;27/Aug/22;Coastal and Cultural Adventures (nieuwe data);no;Norway;2290;18;20;300;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/summer-camp-coastal-and-cultural-adventures-norway-new-dates.pdf;x
21/Aug/22;28/Aug/22;Summercamp Roslagen;se;Sweden;2350;15;25;690;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/summercamp-roslagen-2022.pdf;
17/Sept/22;25/Sept/22;Viareggio Versilia;it;Italy;2071;18;25;300;https://www.rotary.nl/yep/yep-app/tu4w6b3-6436ie5-63h0jf-9i639i4-t3mf67-uhdrs/pdf/camps-and-tours-outbound/italy-camp-2022-viareggio-versilia-002.pdf;
